tab	sites
site	location	samples	specimens	age	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AX1	Beaver Bay Complex	AX1-1:AX1-2:AX1-3:AX1-4:AX1-5:AX1-6:AX1-7:AX1-8	AX1-1b:AX1-2b:AX1-3b:AX1-4b:AX1-5b:AX1-6b:AX1-7b:AX1-8b	1092	1091.83	1091.61	Ma	    2.4 	mt	  293.3 	   42.6 	   536 	8	8 	8 	0 	t	7.9869 	0	0	47.20047	268.62063	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    3.0 	    1.8 	   33.4 	  180.0 
AX1	Beaver Bay Complex	AX1-1:AX1-2:AX1-3:AX1-4:AX1-5:AX1-6:AX1-7:AX1-8	AX1-1b:AX1-2b:AX1-3b:AX1-4b:AX1-5b:AX1-6b:AX1-7b:AX1-8b	1092	1091.83	1091.61	Ma	    2.4 	mt	  291.3 	   53.7 	   540 	8	8 	8 	0 	n	7.9870 	100	0	47.20047	268.62063	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    3.4 	    2.3 	   38.1 	  190.5 
AX10	Beaver Bay Complex	AX10-1:AX10-2:AX10-3	AX10-1b:AX10-2b:AX10-3b	1092	1091.83	1091.61	Ma	    6.5 	mt	  284.5 	   27.2 	   361 	3	3 	3 	0 	t	2.9945 	0	0	47.58272	269.14383	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    7.1 	    3.9 	   20.3 	  178.5 
AX10	Beaver Bay Complex	AX10-1:AX10-2:AX10-3	AX10-1b:AX10-2b:AX10-3b	1092	1091.83	1091.61	Ma	    6.5 	mt	  278.7 	   37.4 	   358 	3	3 	3 	0 	t	2.9944 	100	0	47.58272	269.14383	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    7.6 	    4.5 	   21.0 	  187.6 
AX11	Beaver Bay Complex	AX11-1:AX11-2:AX11-4:AX11-5:AX11-6:AX11-7:AX11-8:AX11-9	AX11-1b:AX11-2b:AX11-4b:AX11-5b:AX11-6b:AX11-7b:AX11-8b:AX11-9b	1092	1091.83	1091.61	Ma	    3.2 	mt	  284.9 	   23.5 	   305 	8	8 	8 	0 	t	7.9771 	0	0	47.36998	268.83351	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    3.4 	    1.8 	   19.1 	  176.3 
AX11	Beaver Bay Complex	AX11-1:AX11-2:AX11-4:AX11-5:AX11-6:AX11-7:AX11-8:AX11-9	AX11-1b:AX11-2b:AX11-4b:AX11-5b:AX11-6b:AX11-7b:AX11-8b:AX11-9b	1092	1091.83	1091.61	Ma	    3.2 	mt	  283.0 	   34.2 	   308 	8	8 	8 	0 	t	7.9772 	100	0	47.36998	268.83351	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    3.7 	    2.1 	   22.4 	  182.6 
AX12	Beaver Bay Complex	AX12-1:AX12-2:AX12-4:AX12-5:AX12-6:AX12-7	AX12-1b:AX12-2b:AX12-4b:AX12-5b:AX12-6b:AX12-7b	1092	1091.83	1091.61	Ma	   11.3 	mt	  299.9 	   42.5 	    36 	6	6 	6 	0 	n	5.8622 	0	0	47.29207	268.7399	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	   13.9 	    8.6 	   37.8 	  175.1 
AX12	Beaver Bay Complex	AX12-1:AX12-2:AX12-4:AX12-5:AX12-6:AX12-7	AX12-1b:AX12-2b:AX12-4b:AX12-5b:AX12-6b:AX12-7b	1092	1091.83	1091.61	Ma	   11.3 	mt	  299.6 	   53.7 	    36 	6	6 	6 	0 	n	5.8622 	100	0	47.29207	268.7399	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	   15.8 	   11.0 	   43.7 	  185.2 
AX13	Beaver Bay Complex	AX13-1:AX13-2:AX13-3:AX13-4:AX13-5:AX13-6:AX13-7:AX13-8:AX13-9	AX13-1b:AX13-2b:AX13-3b:AX13-4b:AX13-5b:AX13-6b:AX13-7b:AX13-8b:AX13-9b	1092	1091.83	1091.61	Ma	    2.5 	mt	  289.8 	   23.0 	   434 	9	9 	9 	0 	t	8.9816 	0	0	47.36889	268.83304	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	    2.7 	    1.4 	   22.2 	  172.4 
AX13	Beaver Bay Complex	AX13-1:AX13-2:AX13-3:AX13-4:AX13-5:AX13-6:AX13-7:AX13-8:AX13-9	AX13-1b:AX13-2b:AX13-3b:AX13-4b:AX13-5b:AX13-6b:AX13-7b:AX13-8b:AX13-9b	1092	1091.83	1091.61	Ma	    2.5 	mt	  288.5 	   34.0 	   435 	9	9 	9 	0 	t	8.9816 	100	0	47.36889	268.83304	Igneous:Intrusive	Not Specified	Anorthosite	Yiming Zhang	ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	    2.9 	    1.6 	   26.0 	  178.5 
