Site, x, y, latitude, longitude, zone
AX1,622746.4427,5228715.472,47.200466,-91.379371, 15T
AX10,661202.2988,5272149.391,47.582715,-90.856167, 15T
AX11,638426.6868,5247910.416,47.369985,-91.166488, 15T
AX12,631552.7768,5239089.134,47.292066,-91.2601, 15T
AX13,638394.331,5247788.142,47.368892,-91.166955, 15T
AX14,631610.2535,5239194.188,47.292999,-91.259309, 15T
AX15,631285.0104,5238708.576,47.288697,-91.263752, 15T
AX16,631287.7221,5238728.602,47.288876,-91.26371, 15T
AX17,631310.5604,5238749.735,47.289062,-91.263402, 15T
AX18,631328.9514,5238757.017,47.289124,-91.263156, 15T
AX19,629115.6497,5235825.498,47.263196,-91.293263, 15T
AX2,622510.8322,5228425.352,47.1979,-91.38256, 15T
AX20,629473.4483,5236212.305,47.266605,-91.288423, 15T
AX21,629271.7177,5236417.062,47.268486,-91.291029, 15T
AX22,638868.7901,5252514.484,47.411298,-91.159194, 15T
AX3,661224.1017,5272348.86,47.584503,-90.855804, 15T
AX4,661150.5261,5272133.069,47.582581,-90.856861, 15T
AX5,661202.997,5272145.351,47.582679,-90.856159, 15T
AX6,661202.997,5272145.351,47.582679,-90.856159, 15T
AX7,661202.997,5272145.351,47.582679,-90.856159, 15T
AX8,661201.9747,5272144.912,47.582675,-90.856173, 15T
AX9,661202.4985,5272146.045,47.582685,-90.856166, 15T
BD1,622758.2181,5228712.389,47.200436,-91.379216, 15T
BD10,638869.8544,5252526.453,47.411406,-91.159176, 15T
BD11,630302.6679,5247508.849,47.368044,-91.27416, 15T
BD12,626328.4836,5240391.6,47.304809,-91.328796, 15T
BD13,641360.0478,5260255.877,47.480383,-91.123713, 15T
BD14,675199.1176,5285599.899,47.70001,-90.66479, 15T
BD15,677086.1853,5285704.818,47.700439,-90.639617, 15T
BD16,671452.7217,5281694.718,47.665906,-90.716218, 15T
BD17,638570.4446,5248356.933,47.373971,-91.164446, 15T
BD2,661193.2594,5272147.836,47.582703,-90.856288, 15T
BD3,638359.2967,5247790.621,47.368922,-91.167418, 15T
BD4,631531.391,5239062.964,47.291835,-91.26039, 15T
BD5,631292.7615,5238704.76,47.288661,-91.26365, 15T
BD6,629140.6316,5235850.144,47.263413,-91.292925, 15T
BD7,629476.4291,5236212.911,47.26661,-91.288383, 15T
BD8,624473.2153,5230095.306,47.212553,-91.356198, 15T
BD9,625133.7705,5231409.932,47.224252,-91.347111, 15T
