tab	ages
age	location	site	sample	specimen	age_unit	citations	method_codes
	Beaver Bay Complex				Ma	This study	
>>>>>>>>>>
tab	locations
location	age	age_high	age_low	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Beaver Bay Complex	1091.83	1092.04	1091.62	Ma	47.2	47.2	268.6	268.6	Igneous:Intrusive	Anorthosite	Outcrop		This study
>>>>>>>>>>
tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
AX1-1b_LP-DIR-T-1	AX1-1b	AX1-1b_LP-DIR-T	0.8	209.0	25.6	0	0	0	0	0	273	This study	hargrave 2019-09-13 16:58:18	LT-NO:LP-DIR-T	g	1	u	8	273			pmagpy-4.2.24-1	2.16e-06	8.16e-09	1.1200000000000001e-08	2.6800000000000002e-08
AX1-1b_LP-DIR-T-2	AX1-1b	AX1-1b_LP-DIR-T	1.5	213.2	25.6	0	0	0	0	1	373	This study	hargrave 2019-09-20 12:26:23	LT-T-Z:LP-DIR-T	g	2	u	8	273			pmagpy-4.2.24-1	2.06e-06	1.71e-08	4.3899999999999996e-08	2.99e-08
AX1-1b_LP-DIR-T-3	AX1-1b	AX1-1b_LP-DIR-T	3.4	211.0	25.6	0	0	0	0	2	423	This study	hargrave 2019-09-20 19:15:16	LT-T-Z:LP-DIR-T	g	3	u	8	273			pmagpy-4.2.24-1	2e-06	4.43e-08	1.06e-07	2.74e-08
AX1-1b_LP-DIR-T-4	AX1-1b	AX1-1b_LP-DIR-T	4.7	216.2	25.8	0	0	0	0	3	473	This study	hargrave 2019-09-21 15:07:06	LT-T-Z:LP-DIR-T	g	4	u	8	273			pmagpy-4.2.24-1	1.94e-06	7.83e-08	1.3800000000000002e-07	2.52e-08
AX1-1b_LP-DIR-T-5	AX1-1b	AX1-1b_LP-DIR-T	1.9	214.4	25.8	0	0	0	0	4	523	This study	hargrave 2019-09-22 12:44:46	LT-T-Z:LP-DIR-T	g	5	u	8	273			pmagpy-4.2.24-1	1.89e-06	2.1e-08	4.5999999999999995e-08	3.69e-08
AX1-1b_LP-DIR-T-6	AX1-1b	AX1-1b_LP-DIR-T	2.4	211.0	26.3	0	0	0	0	5	573	This study	hargrave 2019-09-22 18:38:53	LT-T-Z:LP-DIR-T	g	6	u	8	273			pmagpy-4.2.24-1	1.82e-06	4.1699999999999996e-08	5.96e-08	3.08e-08
AX1-1b_LP-DIR-T-7	AX1-1b	AX1-1b_LP-DIR-T	3.2	219.0	25.3	0	0	0	0	6	623	This study	hargrave 2019-09-27 18:24:28	LT-T-Z:LP-DIR-T	g	7	u	8	273			pmagpy-4.2.24-1	1.76e-06	5.32e-08	8.050000000000001e-08	1.37e-08
AX1-1b_LP-DIR-T-8	AX1-1b	AX1-1b_LP-DIR-T	2.3	217.1	25.5	0	0	0	0	7	673	This study	hargrave 2019-09-28 14:14:48	LT-T-Z:LP-DIR-T	g	8	u	8	273			pmagpy-4.2.24-1	1.62e-06	2.7200000000000002e-08	5.32e-08	2.63e-08
AX1-1b_LP-DIR-T-9	AX1-1b	AX1-1b_LP-DIR-T	1.6	217.4	25.5	0	0	0	0	8	723	This study	hargrave 2019-09-29 12:08:54	LT-T-Z:LP-DIR-T	g	9	u	8	273			pmagpy-4.2.24-1	1.36e-06	5.320000000000001e-09	2.5e-08	2.8300000000000002e-08
AX1-1b_LP-DIR-T-10	AX1-1b	AX1-1b_LP-DIR-T	1.3	220.4	25.3	0	0	0	0	9	748	This study	hargrave 2019-09-29 17:50:48	LT-T-Z:LP-DIR-T	g	10	u	8	273			pmagpy-4.2.24-1	1.22e-06	4.93e-09	1.2099999999999999e-08	2.3500000000000002e-08
AX1-1b_LP-DIR-T-11	AX1-1b	AX1-1b_LP-DIR-T	4.5	219.8	25.8	0	0	0	0	10	773	This study	hargrave 2019-10-04 15:42:10	LT-T-Z:LP-DIR-T	g	11	u	8	273			pmagpy-4.2.24-1	1.03e-06	5.49e-08	5.9500000000000003e-08	6.09e-09
AX1-1b_LP-DIR-T-12	AX1-1b	AX1-1b_LP-DIR-T	3.6	215.6	25.6	0	0	0	0	11	793	This study	hargrave 2019-10-05 18:08:35	LT-T-Z:LP-DIR-T	g	12	u	8	273			pmagpy-4.2.24-1	7.4e-07	2.85e-08	3.63e-08	4.35e-09
AX1-1b_LP-DIR-T-13	AX1-1b	AX1-1b_LP-DIR-T	0.9	216.3	26.1	0	0	0	0	12	813	This study	hargrave 2019-10-06 15:14:04	LT-T-Z:LP-DIR-T	g	13	u	8	273			pmagpy-4.2.24-1	3.44e-07	3.5399999999999998e-09	3.4899999999999997e-09	2.2e-09
AX1-1b_LP-DIR-T-14	AX1-1b	AX1-1b_LP-DIR-T	2.8	217.7	25.6	0	0	0	0	13	818	This study	hargrave 2019-10-14 11:33:37	LT-T-Z:LP-DIR-T	g	14	u	8	273			pmagpy-4.2.24-1	2.45e-07	7.68e-09	9.109999999999999e-09	1.2e-09
