tab	sites
site	location	samples	specimens	age	age_high	age_low	age_unit	dir_alpha95	dir_comp_name	dir_dec	dir_inc	dir_k	dir_n_samples	dir_n_specimens	dir_n_specimens_lines	dir_n_specimens_planes	dir_polarity	dir_r	dir_tilt_correction	height	lat	lon	geologic_classes	geologic_types	lithologies	analysts	criteria	software_packages	citations	method_codes	result_quality	result_type	vgp_dm	vgp_dp	vgp_lat	vgp_lon
AX1	Beaver Bay Complex	AX1-1:AX1-2:AX1-3:AX1-4:AX1-5:AX1-6:AX1-7:AX1-8	AX1-1b:AX1-2b:AX1-3b:AX1-4b:AX1-5b:AX1-6b:AX1-7b:AX1-8b	1091.83	1092.04	1091.62		2.4	mt	293.3	42.6	536	8	8	8	0	t	7.9869	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3	1.8	33.4	180.0
AX1	Beaver Bay Complex	AX1-1:AX1-2:AX1-3:AX1-4:AX1-5:AX1-6:AX1-7:AX1-8	AX1-1b:AX1-2b:AX1-3b:AX1-4b:AX1-5b:AX1-6b:AX1-7b:AX1-8b	1091.83	1092.04	1091.62		2.4	mt	293.3	42.6	536	8	8	8	0	t	7.9869	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3	1.8	33.4	180.0
AX10	Beaver Bay Complex	AX10-1:AX10-2:AX10-3	AX10-1b:AX10-2b:AX10-3b	1091.83	1092.04	1091.62		6.5	mt	284.5	27.2	361	3	3	3	0	t	2.9945	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	7.1	3.9	20.3	178.1
AX10	Beaver Bay Complex	AX10-1:AX10-2:AX10-3	AX10-1b:AX10-2b:AX10-3b	1091.83	1092.04	1091.62		6.5	mt	284.5	27.2	361	3	3	3	0	t	2.9945	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	7.1	3.9	20.3	178.1
AX11	Beaver Bay Complex	AX11-1:AX11-2:AX11-4:AX11-5:AX11-6:AX11-7:AX11-8:AX11-9	AX11-1b:AX11-2b:AX11-4b:AX11-5b:AX11-6b:AX11-7b:AX11-8b:AX11-9b	1091.83	1092.04	1091.62		3.2	mt	284.9	23.5	305	8	8	8	0	t	7.9771	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.4	1.8	19.1	176.2
AX11	Beaver Bay Complex	AX11-1:AX11-2:AX11-4:AX11-5:AX11-6:AX11-7:AX11-8:AX11-9	AX11-1b:AX11-2b:AX11-4b:AX11-5b:AX11-6b:AX11-7b:AX11-8b:AX11-9b	1091.83	1092.04	1091.62		3.2	mt	284.9	23.5	305	8	8	8	0	t	7.9771	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.4	1.8	19.1	176.2
AX12	Beaver Bay Complex	AX12-1:AX12-2:AX12-4:AX12-5:AX12-6:AX12-7	AX12-1b:AX12-2b:AX12-4b:AX12-5b:AX12-6b:AX12-7b	1091.83	1092.04	1091.62		11.3	mt	299.9	42.4	36	6	6	6	0	n	5.8622	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	13.9	8.6	37.8	174.9
AX12	Beaver Bay Complex	AX12-1:AX12-2:AX12-4:AX12-5:AX12-6:AX12-7	AX12-1b:AX12-2b:AX12-4b:AX12-5b:AX12-6b:AX12-7b	1091.83	1092.04	1091.62		11.3	mt	299.9	42.4	36	6	6	6	0	n	5.8622	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	13.9	8.6	37.8	174.9
AX13	Beaver Bay Complex	AX13-1:AX13-2:AX13-3:AX13-4:AX13-5:AX13-6:AX13-7:AX13-8:AX13-9	AX13-1b:AX13-2b:AX13-3b:AX13-4b:AX13-5b:AX13-6b:AX13-7b:AX13-8b:AX13-9b	1091.83	1092.04	1091.62		3.7	mt	290.3	21.7	195	9	9	9	0	t	8.9591	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.9	2.1	22	171.3
AX13	Beaver Bay Complex	AX13-1:AX13-2:AX13-3:AX13-4:AX13-5:AX13-6:AX13-7:AX13-8:AX13-9	AX13-1b:AX13-2b:AX13-3b:AX13-4b:AX13-5b:AX13-6b:AX13-7b:AX13-8b:AX13-9b	1091.83	1092.04	1091.62		3.7	mt	290.3	21.7	195	9	9	9	0	t	8.9591	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	3.9	2.1	22	171.3
AX14	Beaver Bay Complex	AX14-1:AX14-2:AX14-3:AX14-4:AX14-5:AX14-6:AX14-8	AX14-1b:AX14-2b:AX14-3b:AX14-4b:AX14-5b:AX14-6b:AX14-8b	1091.83	1092.04	1091.62		3.8	mt	296.9	38.2	256	7	7	7	0	t	6.9766	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	4.5	2.7	33.7	174.5
AX14	Beaver Bay Complex	AX14-1:AX14-2:AX14-3:AX14-4:AX14-5:AX14-6:AX14-8	AX14-1b:AX14-2b:AX14-3b:AX14-4b:AX14-5b:AX14-6b:AX14-8b	1091.83	1092.04	1091.62		3.8	mt	296.9	38.2	256	7	7	7	0	t	6.9766	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	4.5	2.7	33.7	174.5
AX15	Beaver Bay Complex	AX15-1:AX15-2:AX15-3:AX15-4:AX15-5:AX15-6:AX15-7:AX15-8	AX15-1b:AX15-2b:AX15-3b:AX15-4b:AX15-5b:AX15-6b:AX15-7b:AX15-8b	1091.83	1092.04	1091.62		6	mt	282.8	42.1	85	8	8	8	0	t	7.9179	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	7.4	4.5	26.1	187.0
AX15	Beaver Bay Complex	AX15-1:AX15-2:AX15-3:AX15-4:AX15-5:AX15-6:AX15-7:AX15-8	AX15-1b:AX15-2b:AX15-3b:AX15-4b:AX15-5b:AX15-6b:AX15-7b:AX15-8b	1091.83	1092.04	1091.62		6	mt	282.8	42.1	85	8	8	8	0	t	7.9179	100	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-TILT:LP-DC4:DE-FM:DA-DIR-GEO	g	i	7.4	4.5	26.1	187.0
AX16	Beaver Bay Complex	AX16-1:AX16-2:AX16-3:AX16-4:AX16-5:AX16-6:AX16-7:AX16-8	AX16-1b:AX16-2b:AX16-3b:AX16-4b:AX16-5b:AX16-6b:AX16-7b:AX16-8b	1091.83	1092.04	1091.62		2.8	mt	273.8	38.9	380	8	8	8	0	t	7.9816	0	0	47.2	268.6	Igneous:Intrusive	Not Specified	Anorthosite		ACCEPT	pmagpy-4.2.24-1: demag_gui.v.3.0	This study	LP-DIR-T:DE-BFL:DA-DIR-GEO:LP-DC4:DE-FM	g	i	3.3	2	18.4	191.3
