tab	ages
age	location	site	sample	specimen	age_unit	citations	method_codes
1092					Ma	This study	
>>>>>>>>>>
tab	locations
location	age	age_high	age_low	age_unit	lat_n	lat_s	lon_e	lon_w	geologic_classes	lithologies	location_type	analysts	citations
Beaver Bay complex	1092	1091.83	1091.61	Ma	47.2	47.2	268.6	268.6	Igneous:Intrusive	Diabase	Outcrop		This study
>>>>>>>>>>
tab	measurements
measurement	specimen	experiment	dir_csd	dir_dec	dir_inc	treat_ac_field	treat_dc_field	treat_dc_field_phi	treat_dc_field_theta	treat_step_num	treat_temp	citations	instrument_codes	method_codes	quality	sequence	standard	meas_n_orient	meas_temp	analysts	description	software_packages	magn_moment	magn_x_sigma	magn_y_sigma	magn_z_sigma
BD1-10a_LP-DIR-AF-1	BD1-10a	BD1-10a_LP-DIR-AF	0.4	135.1	20.3	0	0	0	0	0	273	This study	hargrave 2019-09-14 20:21:44	LT-NO:LP-DIR-AF	g	1	u	8	273			pmagpy-4.2.24-1	1.24e-05	3.12e-08	7.71e-08	5.6399999999999995e-08
BD1-10a_LP-DIR-AF-2	BD1-10a	BD1-10a_LP-DIR-AF	0.4	134.7	19.9	0.001	0	0	0	1	273	This study	hargrave 2019-09-14 20:23:03	LT-AF-Z:LP-DIR-AF	g	2	u	8	273			pmagpy-4.2.24-1	1.23e-05	3.4500000000000005e-08	7.780000000000001e-08	5.610000000000001e-08
BD1-10a_LP-DIR-AF-3	BD1-10a	BD1-10a_LP-DIR-AF	0.4	134.0	19.4	0.002	0	0	0	2	273	This study	hargrave 2019-09-14 20:24:22	LT-AF-Z:LP-DIR-AF	g	3	u	8	273			pmagpy-4.2.24-1	1.2e-05	3.42e-08	7.54e-08	5.530000000000001e-08
BD1-10a_LP-DIR-AF-4	BD1-10a	BD1-10a_LP-DIR-AF	0.4	133.5	19	0.003	0	0	0	3	273	This study	hargrave 2019-09-14 20:25:42	LT-AF-Z:LP-DIR-AF	g	4	u	8	273			pmagpy-4.2.24-1	1.18e-05	3.1299999999999996e-08	7.36e-08	5.4299999999999997e-08
BD1-10a_LP-DIR-AF-5	BD1-10a	BD1-10a_LP-DIR-AF	0.4	133.1	18.7	0.004	0	0	0	4	273	This study	hargrave 2019-09-14 20:27:49	LT-AF-Z:LP-DIR-AF	g	5	u	8	273			pmagpy-4.2.24-1	1.1400000000000001e-05	3.03e-08	6.91e-08	5.25e-08
BD1-10a_LP-DIR-AF-6	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.9	18.5	0.005	0	0	0	5	273	This study	hargrave 2019-09-14 20:29:08	LT-AF-Z:LP-DIR-AF	g	6	u	8	273			pmagpy-4.2.24-1	1.11e-05	3.0499999999999995e-08	6.81e-08	5.09e-08
BD1-10a_LP-DIR-AF-7	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.9	18.5	0.006	0	0	0	6	273	This study	hargrave 2019-09-14 20:30:27	LT-AF-Z:LP-DIR-AF	g	7	u	8	273			pmagpy-4.2.24-1	1.05e-05	2.9500000000000006e-08	6.769999999999999e-08	4.88e-08
BD1-10a_LP-DIR-AF-8	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.7	18.4	0.007	0	0	0	7	273	This study	hargrave 2019-09-14 20:31:46	LT-AF-Z:LP-DIR-AF	g	8	u	8	273			pmagpy-4.2.24-1	9.95e-06	2.69e-08	6.049999999999999e-08	4.56e-08
BD1-10a_LP-DIR-AF-9	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.7	18.4	0.008	0	0	0	8	273	This study	hargrave 2019-09-14 20:33:04	LT-AF-Z:LP-DIR-AF	g	9	u	8	273			pmagpy-4.2.24-1	9.26e-06	2.58e-08	5.78e-08	4.23e-08
BD1-10a_LP-DIR-AF-10	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.6	18.5	0.009	0	0	0	9	273	This study	hargrave 2019-09-14 20:34:25	LT-AF-Z:LP-DIR-AF	g	10	u	8	273			pmagpy-4.2.24-1	8.56e-06	2.33e-08	5.29e-08	3.91e-08
BD1-10a_LP-DIR-AF-11	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.5	18.5	0.01	0	0	0	10	273	This study	hargrave 2019-09-14 20:35:45	LT-AF-Z:LP-DIR-AF	g	11	u	8	273			pmagpy-4.2.24-1	7.85e-06	2.2400000000000002e-08	4.74e-08	3.61e-08
BD1-10a_LP-DIR-AF-12	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.6	18.5	0.012	0	0	0	11	273	This study	hargrave 2019-09-14 20:37:52	LT-AF-Z:LP-DIR-AF	g	12	u	8	273			pmagpy-4.2.24-1	6.59e-06	1.96e-08	4.1100000000000004e-08	3.01e-08
BD1-10a_LP-DIR-AF-13	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.6	18.4	0.014	0	0	0	12	273	This study	hargrave 2019-09-14 20:39:11	LT-AF-Z:LP-DIR-AF	g	13	u	8	273			pmagpy-4.2.24-1	5.42e-06	1.55e-08	3.25e-08	2.4700000000000003e-08
BD1-10a_LP-DIR-AF-14	BD1-10a	BD1-10a_LP-DIR-AF	0.4	132.4	18.3	0.016	0	0	0	13	273	This study	hargrave 2019-09-14 20:40:30	LT-AF-Z:LP-DIR-AF	g	14	u	8	273			pmagpy-4.2.24-1	4.45e-06	1.3e-08	2.56e-08	2.02e-08
